date_label,effective_from,effective_to,classification,card_name
January 2003,01/01/2003,01/09/2003,Limited,Right Arm of the Forbidden One
January 2003,01/01/2003,01/09/2003,Limited,Right Leg of the Forbidden One
January 2003,01/01/2003,01/09/2003,Limited,Ring of Destruction
January 2003,01/01/2003,01/09/2003,Limited,Slate Warrior
January 2003,01/01/2003,01/09/2003,Limited,Snatch Steal
January 2003,01/01/2003,01/09/2003,Limited,Swords of Revealing Light
January 2003,01/01/2003,01/09/2003,Limited,The Forceful Sentry
January 2003,01/01/2003,01/09/2003,Limited,Twin-Headed Behemoth
January 2003,01/01/2003,01/09/2003,Limited,United We Stand
January 2003,01/01/2003,01/09/2003,Limited,Upstart Goblin
January 2003,01/01/2003,01/09/2003,Limited,Witch of the Black Forest
January 2003,01/01/2003,01/09/2003,Limited,Yata-Garasu
January 2003,01/01/2003,01/09/2003,Semi-Limited,Backup Soldier
January 2003,01/01/2003,01/09/2003,Semi-Limited,Graceful Charity
January 2003,01/01/2003,01/09/2003,Semi-Limited,Guardian Sphinx
January 2003,01/01/2003,01/09/2003,Semi-Limited,Last Turn
January 2003,01/01/2003,01/09/2003,Semi-Limited,Marauding Captain
January 2003,01/01/2003,01/09/2003,Semi-Limited,Morphing Jar #2
January 2003,01/01/2003,01/09/2003,Semi-Limited,Nobleman of Crossout
January 2003,01/01/2003,01/09/2003,Semi-Limited,Reinforcement of the Army
January 2003,01/01/2003,01/09/2003,Semi-Limited,Riryoku
January 2003,01/01/2003,01/09/2003,Semi-Limited,Sangan
September 2003,01/09/2003,01/03/2004,Limited,Breaker the Magical Warrior
September 2003,01/09/2003,01/03/2004,Limited,Butterfly Dagger - Elma
September 2003,01/09/2003,01/03/2004,Limited,Call of the Haunted
September 2003,01/09/2003,01/03/2004,Limited,Card Destruction
September 2003,01/09/2003,01/03/2004,Limited,Ceasefire
September 2003,01/09/2003,01/03/2004,Limited,Change of Heart
September 2003,01/09/2003,01/03/2004,Limited,Chaos Emperor Dragon - Envoy of the End
September 2003,01/09/2003,01/03/2004,Limited,Confiscation
September 2003,01/09/2003,01/03/2004,Limited,Cyber Jar
September 2003,01/09/2003,01/03/2004,Limited,Dark Hole
September 2003,01/09/2003,01/03/2004,Limited,Delinquent Duo
September 2003,01/09/2003,01/03/2004,Limited,Exchange of the Spirit
September 2003,01/09/2003,01/03/2004,Limited,Exiled Force
September 2003,01/09/2003,01/03/2004,Limited,Exodia the Forbidden One
September 2003,01/09/2003,01/03/2004,Limited,Fiber Jar
September 2003,01/09/2003,01/03/2004,Limited,Graceful Charity
September 2003,01/09/2003,01/03/2004,Limited,Harpie's Feather Duster
September 2003,01/09/2003,01/03/2004,Limited,Heavy Storm
September 2003,01/09/2003,01/03/2004,Limited,Imperial Order
September 2003,01/09/2003,01/03/2004,Limited,Injection Fairy Lily
September 2003,01/09/2003,01/03/2004,Limited,Jinzo
September 2003,01/09/2003,01/03/2004,Limited,Left Arm of the Forbidden One
September 2003,01/09/2003,01/03/2004,Limited,Left Leg of the Forbidden One
September 2003,01/09/2003,01/03/2004,Limited,Mage Power
September 2003,01/09/2003,01/03/2004,Limited,Magic Cylinder
September 2003,01/09/2003,01/03/2004,Limited,Mirage of Nightmare
September 2003,01/09/2003,01/03/2004,Limited,Mirror Force
September 2003,01/09/2003,01/03/2004,Limited,Monster Reborn
September 2003,01/09/2003,01/03/2004,Limited,Morphing Jar
September 2003,01/09/2003,01/03/2004,Limited,Painful Choice
September 2003,01/09/2003,01/03/2004,Limited,Pot of Greed
September 2003,01/09/2003,01/03/2004,Limited,Premature Burial
September 2003,01/09/2003,01/03/2004,Limited,Raigeki
September 2003,01/09/2003,01/03/2004,Limited,Reckless Greed
September 2003,01/09/2003,01/03/2004,Limited,Reflect Bounder
September 2003,01/09/2003,01/03/2004,Limited,Right Arm of the Forbidden One
September 2003,01/09/2003,01/03/2004,Limited,Right Leg of the Forbidden One
September 2003,01/09/2003,01/03/2004,Limited,Ring of Destruction
September 2003,01/09/2003,01/03/2004,Limited,Sangan
September 2003,01/09/2003,01/03/2004,Limited,Sinister Serpent
September 2003,01/09/2003,01/03/2004,Limited,Snatch Steal
September 2003,01/09/2003,01/03/2004,Limited,Swords of Revealing Light
September 2003,01/09/2003,01/03/2004,Limited,The Forceful Sentry
September 2003,01/09/2003,01/03/2004,Limited,Tribe-Infecting Virus
September 2003,01/09/2003,01/03/2004,Limited,Twin-Headed Behemoth
September 2003,01/09/2003,01/03/2004,Limited,United We Stand
September 2003,01/09/2003,01/03/2004,Limited,Upstart Goblin
September 2003,01/09/2003,01/03/2004,Limited,Vampire Lord
September 2003,01/09/2003,01/03/2004,Limited,Witch of the Black Forest
September 2003,01/09/2003,01/03/2004,Limited,Yata-Garasu
September 2003,01/09/2003,01/03/2004,Semi-Limited,Creature Swap
September 2003,01/09/2003,01/03/2004,Semi-Limited,Last Turn
September 2003,01/09/2003,01/03/2004,Semi-Limited,Makyura the Destructor
September 2003,01/09/2003,01/03/2004,Semi-Limited,Marauding Captain
September 2003,01/09/2003,01/03/2004,Semi-Limited,Morphing Jar #2
September 2003,01/09/2003,01/03/2004,Semi-Limited,Nobleman of Crossout
September 2003,01/09/2003,01/03/2004,Semi-Limited,Reinforcement of the Army
September 2003,01/09/2003,01/03/2004,Released,Backup Soldier
September 2003,01/09/2003,01/03/2004,Released,Guardian Sphinx
September 2003,01/09/2003,01/03/2004,Released,Limiter Removal
September 2003,01/09/2003,01/03/2004,Released,Riryoku
September 2003,01/09/2003,01/03/2004,Released,Slate Warrior
September 2004,01/09/2004,01/03/2005,Forbidden,Chaos Emperor Dragon - Envoy of the End
September 2004,01/09/2004,01/03/2005,Forbidden,Dark Hole
September 2004,01/09/2004,01/03/2005,Forbidden,Delinquent Duo
September 2004,01/09/2004,01/03/2005,Forbidden,Graceful Charity
September 2004,01/09/2004,01/03/2005,Forbidden,Harpie's Feather Duster
September 2004,01/09/2004,01/03/2005,Forbidden,Imperial Order
September 2004,01/09/2004,01/03/2005,Forbidden,Mirror Force
September 2004,01/09/2004,01/03/2005,Forbidden,Monster Reborn
September 2004,01/09/2004,01/03/2005,Forbidden,Raigeki
September 2004,01/09/2004,01/03/2005,Forbidden,Sangan
September 2004,01/09/2004,01/03/2005,Forbidden,United We Stand
September 2004,01/09/2004,01/03/2005,Forbidden,Witch of the Black Forest
September 2004,01/09/2004,01/03/2005,Forbidden,Yata-Garasu
September 2004,01/09/2004,01/03/2005,Limited,Black Luster Soldier - Envoy of the Beginning
September 2004,01/09/2004,01/03/2005,Limited,Breaker the Magical Warrior
September 2004,01/09/2004,01/03/2005,Limited,Butterfly Dagger - Elma
September 2004,01/09/2004,01/03/2005,Limited,Call of the Haunted
September 2004,01/09/2004,01/03/2005,Limited,Card Destruction
September 2004,01/09/2004,01/03/2005,Limited,Ceasefire
September 2004,01/09/2004,01/03/2005,Limited,Change of Heart
September 2004,01/09/2004,01/03/2005,Limited,Confiscation
September 2004,01/09/2004,01/03/2005,Limited,Crush Card Virus
September 2004,01/09/2004,01/03/2005,Limited,Cyber Jar
September 2004,01/09/2004,01/03/2005,Limited,Dark Magician of Chaos
September 2004,01/09/2004,01/03/2005,Limited,Exchange of the Spirit
September 2004,01/09/2004,01/03/2005,Limited,Exiled Force
September 2004,01/09/2004,01/03/2005,Limited,Exodia the Forbidden One
September 2004,01/09/2004,01/03/2005,Limited,Fiber Jar
September 2004,01/09/2004,01/03/2005,Limited,Heavy Storm
September 2004,01/09/2004,01/03/2005,Limited,Injection Fairy Lily
September 2004,01/09/2004,01/03/2005,Limited,Jinzo
September 2004,01/09/2004,01/03/2005,Limited,Left Arm of the Forbidden One
September 2004,01/09/2004,01/03/2005,Limited,Left Leg of the Forbidden One
September 2004,01/09/2004,01/03/2005,Limited,Mage Power
September 2004,01/09/2004,01/03/2005,Limited,Magic Cylinder
September 2004,01/09/2004,01/03/2005,Limited,Magical Scientist
September 2004,01/09/2004,01/03/2005,Limited,Mirage of Nightmare
September 2004,01/09/2004,01/03/2005,Limited,Morphing Jar
September 2004,01/09/2004,01/03/2005,Limited,Mystical Space Typhoon
September 2004,01/09/2004,01/03/2005,Limited,Painful Choice
September 2004,01/09/2004,01/03/2005,Limited,Pot of Greed
September 2004,01/09/2004,01/03/2005,Limited,Premature Burial
September 2004,01/09/2004,01/03/2005,Limited,Protector of the Sanctuary
September 2004,01/09/2004,01/03/2005,Limited,Reckless Greed
September 2004,01/09/2004,01/03/2005,Limited,Reflect Bounder
September 2004,01/09/2004,01/03/2005,Limited,Right Arm of the Forbidden One
September 2004,01/09/2004,01/03/2005,Limited,Right Leg of the Forbidden One
September 2004,01/09/2004,01/03/2005,Limited,Ring of Destruction
September 2004,01/09/2004,01/03/2005,Limited,Sinister Serpent
September 2004,01/09/2004,01/03/2005,Limited,Sixth Sense
September 2004,01/09/2004,01/03/2005,Limited,Snatch Steal
September 2004,01/09/2004,01/03/2005,Limited,Swords of Revealing Light
September 2004,01/09/2004,01/03/2005,Limited,The Forceful Sentry
September 2004,01/09/2004,01/03/2005,Limited,Torrential Tribute
September 2004,01/09/2004,01/03/2005,Limited,Tribe-Infecting Virus
September 2004,01/09/2004,01/03/2005,Limited,Twin-Headed Behemoth
September 2004,01/09/2004,01/03/2005,Limited,Upstart Goblin
September 2004,01/09/2004,01/03/2005,Limited,Vampire Lord
September 2004,01/09/2004,01/03/2005,Semi-Limited,Creature Swap
September 2004,01/09/2004,01/03/2005,Semi-Limited,Last Turn
September 2004,01/09/2004,01/03/2005,Semi-Limited,Makyura the Destructor
September 2004,01/09/2004,01/03/2005,Semi-Limited,Manticore of Darkness
September 2004,01/09/2004,01/03/2005,Semi-Limited,Marauding Captain
September 2004,01/09/2004,01/03/2005,Semi-Limited,Morphing Jar #2
September 2004,01/09/2004,01/03/2005,Semi-Limited,Nobleman of Crossout
September 2004,01/09/2004,01/03/2005,Semi-Limited,Reinforcement of the Army
March 2004,01/03/2004,01/09/2004,Forbidden,Change of Heart
March 2004,01/03/2004,01/09/2004,Forbidden,Cyber Jar
March 2004,01/03/2004,01/09/2004,Forbidden,Delinquent Duo
March 2004,01/03/2004,01/09/2004,Forbidden,Fiber Jar
March 2004,01/03/2004,01/09/2004,Forbidden,Harpie's Feather Duster
March 2004,01/03/2004,01/09/2004,Forbidden,Imperial Order
March 2004,01/03/2004,01/09/2004,Forbidden,Injection Fairy Lily
March 2004,01/03/2004,01/09/2004,Forbidden,Painful Choice
March 2004,01/03/2004,01/09/2004,Forbidden,Raigeki
March 2004,01/03/2004,01/09/2004,Forbidden,Yata-Garasu
March 2004,01/03/2004,01/09/2004,Limited,Black Luster Soldier - Envoy of the Beginning
March 2004,01/03/2004,01/09/2004,Limited,Breaker the Magical Warrior
March 2004,01/03/2004,01/09/2004,Limited,Butterfly Dagger - Elma
March 2004,01/03/2004,01/09/2004,Limited,Call of the Haunted
March 2004,01/03/2004,01/09/2004,Limited,Card Destruction
March 2004,01/03/2004,01/09/2004,Limited,Ceasefire
March 2004,01/03/2004,01/09/2004,Limited,Chaos Emperor Dragon - Envoy of the End
March 2004,01/03/2004,01/09/2004,Limited,Confiscation
March 2004,01/03/2004,01/09/2004,Limited,Dark Hole
March 2004,01/03/2004,01/09/2004,Limited,Dark Magician of Chaos
March 2004,01/03/2004,01/09/2004,Limited,Exchange of the Spirit
March 2004,01/03/2004,01/09/2004,Limited,Exiled Force
March 2004,01/03/2004,01/09/2004,Limited,Exodia the Forbidden One
March 2004,01/03/2004,01/09/2004,Limited,Graceful Charity
March 2004,01/03/2004,01/09/2004,Limited,Heavy Storm
March 2004,01/03/2004,01/09/2004,Limited,Jinzo
March 2004,01/03/2004,01/09/2004,Limited,Left Arm of the Forbidden One
March 2004,01/03/2004,01/09/2004,Limited,Left Leg of the Forbidden One
March 2004,01/03/2004,01/09/2004,Limited,Mage Power
March 2004,01/03/2004,01/09/2004,Limited,Magic Cylinder
March 2004,01/03/2004,01/09/2004,Limited,Magical Scientist
March 2004,01/03/2004,01/09/2004,Limited,Mirage of Nightmare
March 2004,01/03/2004,01/09/2004,Limited,Mirror Force
March 2004,01/03/2004,01/09/2004,Limited,Monster Reborn
March 2004,01/03/2004,01/09/2004,Limited,Pot of Greed
March 2004,01/03/2004,01/09/2004,Limited,Premature Burial
March 2004,01/03/2004,01/09/2004,Limited,Reckless Greed
March 2004,01/03/2004,01/09/2004,Limited,Reflect Bounder
March 2004,01/03/2004,01/09/2004,Limited,Right Arm of the Forbidden One
March 2004,01/03/2004,01/09/2004,Limited,Right Leg of the Forbidden One
March 2004,01/03/2004,01/09/2004,Limited,Ring of Destruction
March 2004,01/03/2004,01/09/2004,Limited,Sangan
March 2004,01/03/2004,01/09/2004,Limited,Sinister Serpent
March 2004,01/03/2004,01/09/2004,Limited,Snatch Steal
March 2004,01/03/2004,01/09/2004,Limited,Swords of Revealing Light
March 2004,01/03/2004,01/09/2004,Limited,The Forceful Sentry
March 2004,01/03/2004,01/09/2004,Limited,Tribe-Infecting Virus
March 2004,01/03/2004,01/09/2004,Limited,Twin-Headed Behemoth
March 2004,01/03/2004,01/09/2004,Limited,United We Stand
March 2004,01/03/2004,01/09/2004,Limited,Upstart Goblin
March 2004,01/03/2004,01/09/2004,Limited,Vampire Lord
March 2004,01/03/2004,01/09/2004,Limited,Witch of the Black Forest
March 2004,01/03/2004,01/09/2004,Semi-Limited,Creature Swap
March 2004,01/03/2004,01/09/2004,Semi-Limited,Last Turn
March 2004,01/03/2004,01/09/2004,Semi-Limited,Makyura the Destructor
March 2004,01/03/2004,01/09/2004,Semi-Limited,Manticore of Darkness
March 2004,01/03/2004,01/09/2004,Semi-Limited,Morphing Jar
March 2004,01/03/2004,01/09/2004,Semi-Limited,Nobleman of Crossout
March 2004,01/03/2004,01/09/2004,Semi-Limited,Reinforcement of the Army
March 2004,01/03/2004,01/09/2004,Released,Marauding Captain
March 2004,01/03/2004,01/09/2004,Released,Morphing Jar #2
March 2005,01/03/2005,01/09/2005,Forbidden,Butterfly Dagger - Elma
March 2005,01/03/2005,01/09/2005,Forbidden,Change of Heart
March 2005,01/03/2005,01/09/2005,Forbidden,Chaos Emperor Dragon - Envoy of the End
March 2005,01/03/2005,01/09/2005,Forbidden,Confiscation
March 2005,01/03/2005,01/09/2005,Forbidden,Dark Hole
March 2005,01/03/2005,01/09/2005,Forbidden,Fiber Jar
March 2005,01/03/2005,01/09/2005,Forbidden,Harpie's Feather Duster
March 2005,01/03/2005,01/09/2005,Forbidden,Imperial Order
March 2005,01/03/2005,01/09/2005,Forbidden,Magical Scientist
March 2005,01/03/2005,01/09/2005,Forbidden,Makyura the Destructor
March 2005,01/03/2005,01/09/2005,Forbidden,Mirage of Nightmare
March 2005,01/03/2005,01/09/2005,Forbidden,Monster Reborn
March 2005,01/03/2005,01/09/2005,Forbidden,Painful Choice
March 2005,01/03/2005,01/09/2005,Forbidden,Raigeki
March 2005,01/03/2005,01/09/2005,Forbidden,Sixth Sense
March 2005,01/03/2005,01/09/2005,Forbidden,The Forceful Sentry
March 2005,01/03/2005,01/09/2005,Forbidden,Witch of the Black Forest
March 2005,01/03/2005,01/09/2005,Forbidden,Yata-Garasu
March 2005,01/03/2005,01/09/2005,Limited,Black Luster Soldier - Envoy of the Beginning
March 2005,01/03/2005,01/09/2005,Limited,Breaker the Magical Warrior
March 2005,01/03/2005,01/09/2005,Limited,Call of the Haunted
March 2005,01/03/2005,01/09/2005,Limited,Card Destruction
March 2005,01/03/2005,01/09/2005,Limited,Ceasefire
March 2005,01/03/2005,01/09/2005,Limited,Crush Card Virus
March 2005,01/03/2005,01/09/2005,Limited,Cyber Jar
March 2005,01/03/2005,01/09/2005,Limited,D.D. Warrior Lady
March 2005,01/03/2005,01/09/2005,Limited,Dark Magician of Chaos
March 2005,01/03/2005,01/09/2005,Limited,Deck Devastation Virus
March 2005,01/03/2005,01/09/2005,Limited,Delinquent Duo
March 2005,01/03/2005,01/09/2005,Limited,Exchange of the Spirit
March 2005,01/03/2005,01/09/2005,Limited,Exiled Force
March 2005,01/03/2005,01/09/2005,Limited,Exodia the Forbidden One
March 2005,01/03/2005,01/09/2005,Limited,Graceful Charity
March 2005,01/03/2005,01/09/2005,Limited,Heavy Storm
March 2005,01/03/2005,01/09/2005,Limited,Injection Fairy Lily
March 2005,01/03/2005,01/09/2005,Limited,Jinzo
March 2005,01/03/2005,01/09/2005,Limited,Left Arm of the Forbidden One
March 2005,01/03/2005,01/09/2005,Limited,Left Leg of the Forbidden One
March 2005,01/03/2005,01/09/2005,Limited,Lightning Vortex
March 2005,01/03/2005,01/09/2005,Limited,Mage Power
March 2005,01/03/2005,01/09/2005,Limited,Magic Cylinder
March 2005,01/03/2005,01/09/2005,Limited,Marshmallon
March 2005,01/03/2005,01/09/2005,Limited,Mirror Force
March 2005,01/03/2005,01/09/2005,Limited,Morphing Jar
March 2005,01/03/2005,01/09/2005,Limited,Mystical Space Typhoon
March 2005,01/03/2005,01/09/2005,Limited,Pot of Greed
March 2005,01/03/2005,01/09/2005,Limited,Premature Burial
March 2005,01/03/2005,01/09/2005,Limited,Protector of the Sanctuary
March 2005,01/03/2005,01/09/2005,Limited,Reckless Greed
March 2005,01/03/2005,01/09/2005,Limited,Reflect Bounder
March 2005,01/03/2005,01/09/2005,Limited,Right Arm of the Forbidden One
March 2005,01/03/2005,01/09/2005,Limited,Right Leg of the Forbidden One
March 2005,01/03/2005,01/09/2005,Limited,Ring of Destruction
March 2005,01/03/2005,01/09/2005,Limited,Sacred Phoenix of Nephthys
March 2005,01/03/2005,01/09/2005,Limited,Sangan
March 2005,01/03/2005,01/09/2005,Limited,Sinister Serpent
March 2005,01/03/2005,01/09/2005,Limited,Snatch Steal
March 2005,01/03/2005,01/09/2005,Limited,Swords of Revealing Light
March 2005,01/03/2005,01/09/2005,Limited,Torrential Tribute
March 2005,01/03/2005,01/09/2005,Limited,Tribe-Infecting Virus
March 2005,01/03/2005,01/09/2005,Limited,Twin-Headed Behemoth
March 2005,01/03/2005,01/09/2005,Limited,United We Stand
March 2005,01/03/2005,01/09/2005,Semi-Limited,Abyss Soldier
March 2005,01/03/2005,01/09/2005,Semi-Limited,Creature Swap
March 2005,01/03/2005,01/09/2005,Semi-Limited,Dark Scorpion - Chick the Yellow
March 2005,01/03/2005,01/09/2005,Semi-Limited,Emergency Provisions
March 2005,01/03/2005,01/09/2005,Semi-Limited,Good Goblin Housekeeping
March 2005,01/03/2005,01/09/2005,Semi-Limited,Gravity Bind
March 2005,01/03/2005,01/09/2005,Semi-Limited,Last Turn
March 2005,01/03/2005,01/09/2005,Semi-Limited,Level Limit - Area B
March 2005,01/03/2005,01/09/2005,Semi-Limited,Manticore of Darkness
March 2005,01/03/2005,01/09/2005,Semi-Limited,Marauding Captain
March 2005,01/03/2005,01/09/2005,Semi-Limited,Night Assailant
March 2005,01/03/2005,01/09/2005,Semi-Limited,Nobleman of Crossout
March 2005,01/03/2005,01/09/2005,Semi-Limited,Reinforcement of the Army
March 2005,01/03/2005,01/09/2005,Semi-Limited,Upstart Goblin
March 2005,01/03/2005,01/09/2005,Semi-Limited,Vampire Lord
March 2005,01/03/2005,01/09/2005,Released,Morphing Jar #2
September 2005,01/09/2005,01/03/2006,Forbidden,Black Luster Soldier - Envoy of the Beginning
September 2005,01/09/2005,01/03/2006,Forbidden,Butterfly Dagger - Elma
September 2005,01/09/2005,01/03/2006,Forbidden,Change of Heart
September 2005,01/09/2005,01/03/2006,Forbidden,Chaos Emperor Dragon - Envoy of the End
September 2005,01/09/2005,01/03/2006,Forbidden,Delinquent Duo
September 2005,01/09/2005,01/03/2006,Forbidden,Fiber Jar
September 2005,01/09/2005,01/03/2006,Forbidden,Graceful Charity
September 2005,01/09/2005,01/03/2006,Forbidden,Harpie's Feather Duster
September 2005,01/09/2005,01/03/2006,Forbidden,Imperial Order
September 2005,01/09/2005,01/03/2006,Forbidden,Magical Scientist
September 2005,01/09/2005,01/03/2006,Forbidden,Makyura the Destructor
September 2005,01/09/2005,01/03/2006,Forbidden,Mirage of Nightmare
