format,date,card_name,status,card_id,pretty_url,type
OCG,2000-05-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2000-05-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2000-05-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2000-05-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2000-05-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2000-05-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2000-05-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2000-05-01,Monster Reborn,Semi-Limited,83764719,monster-reborn-7027,
OCG,2000-05-01,Snatch Steal,Semi-Limited,45986603,snatch-steal-3918,
OCG,2000-07-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2000-07-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2000-07-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2000-07-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2000-07-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2000-07-01,Last Will,Limited,85602018,last-will-7174,
OCG,2000-07-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2000-07-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2000-07-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2000-07-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2000-07-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2000-07-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2000-07-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2000-07-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2000-07-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2000-07-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2000-07-01,Gravekeeper's Servant,Semi-Limited,16762927,gravekeeper-s-servant-1443,
OCG,2000-07-01,Monster Reborn,Semi-Limited,83764719,monster-reborn-7027,
OCG,2000-07-01,Snatch Steal,Semi-Limited,45986603,snatch-steal-3918,
OCG,2000-08-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2000-08-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2000-08-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2000-08-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2000-08-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2000-08-01,Last Will,Limited,85602018,last-will-7174,
OCG,2000-08-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2000-08-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2000-08-01,Megamorph,Limited,22046459,megamorph-1898,
OCG,2000-08-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2000-08-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2000-08-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2000-08-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2000-08-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2000-08-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2000-08-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2000-08-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2000-08-01,Gravekeeper's Servant,Semi-Limited,16762927,gravekeeper-s-servant-1443,
OCG,2000-08-01,Monster Reborn,Semi-Limited,83764719,monster-reborn-7027,
OCG,2000-08-01,Snatch Steal,Semi-Limited,45986603,snatch-steal-3918,
OCG,2000-11-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2000-11-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2000-11-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2000-11-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2000-11-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2000-11-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2000-11-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2000-11-01,Last Will,Limited,85602018,last-will-7174,
OCG,2000-11-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2000-11-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2000-11-01,Megamorph,Limited,22046459,megamorph-1898,
OCG,2000-11-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2000-11-01,Morphing Jar #2,Limited,79106360,morphing-jar-2-6640,
OCG,2000-11-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2000-11-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2000-11-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2000-11-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2000-11-01,Sinister Serpent,Limited,8131171,sinister-serpent-690,
OCG,2000-11-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2000-11-01,Swords of Revealing Light,Limited,72302403,swords-of-revealing-light-6068,
OCG,2000-11-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2000-11-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2000-11-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2000-11-01,Gravekeeper's Servant,Semi-Limited,16762927,gravekeeper-s-servant-1443,
OCG,2000-11-01,Heavy Storm,Semi-Limited,19613556,heavy-storm-1690,
OCG,2000-11-01,Imperial Order,Semi-Limited,61740673,imperial-order-5227,
OCG,2000-11-01,Monster Reborn,Semi-Limited,83764719,monster-reborn-7027,
OCG,2001-01-01,Backup Soldier,Limited,36280194,backup-soldier-3066,
OCG,2001-01-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2001-01-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2001-01-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2001-01-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2001-01-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2001-01-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2001-01-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2001-01-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2001-01-01,Imperial Order,Limited,61740673,imperial-order-5227,
OCG,2001-01-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2001-01-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2001-01-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2001-01-01,Limiter Removal,Limited,23171610,limiter-removal-1993,
OCG,2001-01-01,Magic Cylinder,Limited,62279055,magic-cylinder-5267,
OCG,2001-01-01,Megamorph,Limited,22046459,megamorph-1898,
OCG,2001-01-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2001-01-01,Monster Reborn,Limited,83764719,monster-reborn-7027,
OCG,2001-01-01,Morphing Jar #2,Limited,79106360,morphing-jar-2-6640,
OCG,2001-01-01,Painful Choice,Limited,74191942,painful-choice-6240,
OCG,2001-01-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2001-01-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2001-01-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2001-01-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2001-01-01,Sinister Serpent,Limited,8131171,sinister-serpent-690,
OCG,2001-01-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2001-01-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2001-01-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2001-01-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2001-01-01,Heavy Storm,Semi-Limited,19613556,heavy-storm-1690,
OCG,2001-01-01,Last Will,Semi-Limited,85602018,last-will-7174,
OCG,2001-01-01,Nobleman of Crossout,Semi-Limited,71044499,nobleman-of-crossout-5968,
OCG,2001-01-01,Ring of Destruction,Semi-Limited,83555666,ring-of-destruction-7013,
OCG,2001-01-01,Riryoku,Semi-Limited,34016756,riryoku-2889,
OCG,2001-01-01,Sangan,Semi-Limited,26202165,sangan-2251,
OCG,2001-01-01,Swords of Revealing Light,Semi-Limited,72302403,swords-of-revealing-light-6068,
OCG,2001-01-01,Witch of the Black Forest,Semi-Limited,78010363,witch-of-the-black-forest-6561,
OCG,2001-05-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2001-05-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2001-05-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2001-05-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2001-05-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2001-05-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2001-05-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2001-05-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2001-05-01,Imperial Order,Limited,61740673,imperial-order-5227,
OCG,2001-05-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2001-05-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2001-05-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2001-05-01,Limiter Removal,Limited,23171610,limiter-removal-1993,
OCG,2001-05-01,Magic Cylinder,Limited,62279055,magic-cylinder-5267,
OCG,2001-05-01,Megamorph,Limited,22046459,megamorph-1898,
OCG,2001-05-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2001-05-01,Monster Reborn,Limited,83764719,monster-reborn-7027,
OCG,2001-05-01,Painful Choice,Limited,74191942,painful-choice-6240,
OCG,2001-05-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2001-05-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2001-05-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2001-05-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2001-05-01,Sinister Serpent,Limited,8131171,sinister-serpent-690,
OCG,2001-05-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2001-05-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2001-05-01,United We Stand,Limited,56747793,united-we-stand-4834,
OCG,2001-05-01,Backup Soldier,Semi-Limited,36280194,backup-soldier-3066,
OCG,2001-05-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2001-05-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2001-05-01,Heavy Storm,Semi-Limited,19613556,heavy-storm-1690,
OCG,2001-05-01,Morphing Jar #2,Semi-Limited,79106360,morphing-jar-2-6640,
OCG,2001-05-01,Nobleman of Crossout,Semi-Limited,71044499,nobleman-of-crossout-5968,
OCG,2001-05-01,Ring of Destruction,Semi-Limited,83555666,ring-of-destruction-7013,
OCG,2001-05-01,Riryoku,Semi-Limited,34016756,riryoku-2889,
OCG,2001-05-01,Sangan,Semi-Limited,26202165,sangan-2251,
OCG,2001-05-01,Swords of Revealing Light,Semi-Limited,72302403,swords-of-revealing-light-6068,
OCG,2001-05-01,Witch of the Black Forest,Semi-Limited,78010363,witch-of-the-black-forest-6561,
OCG,2002-01-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2002-01-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2002-01-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2002-01-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2002-01-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2002-01-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2002-01-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2002-01-01,Fiber Jar,Limited,78706415,fiber-jar-6613,
OCG,2002-01-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2002-01-01,Imperial Order,Limited,61740673,imperial-order-5227,
OCG,2002-01-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2002-01-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2002-01-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2002-01-01,Limiter Removal,Limited,23171610,limiter-removal-1993,
OCG,2002-01-01,Mage Power,Limited,83746708,mage-power-7025,
OCG,2002-01-01,Magic Cylinder,Limited,62279055,magic-cylinder-5267,
OCG,2002-01-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2002-01-01,Monster Reborn,Limited,83764719,monster-reborn-7027,
OCG,2002-01-01,Painful Choice,Limited,74191942,painful-choice-6240,
OCG,2002-01-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2002-01-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2002-01-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2002-01-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2002-01-01,Ring of Destruction,Limited,83555666,ring-of-destruction-7013,
OCG,2002-01-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2002-01-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2002-01-01,United We Stand,Limited,56747793,united-we-stand-4834,
OCG,2002-01-01,Yata-Garasu,Limited,3078576,yata-garasu-279,
OCG,2002-01-01,Backup Soldier,Semi-Limited,36280194,backup-soldier-3066,
OCG,2002-01-01,Delinquent Duo,Semi-Limited,44763025,delinquent-duo-3811,
OCG,2002-01-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2002-01-01,Heavy Storm,Semi-Limited,19613556,heavy-storm-1690,
OCG,2002-01-01,Last Turn,Semi-Limited,28566710,last-turn-2431,
OCG,2002-01-01,Morphing Jar #2,Semi-Limited,79106360,morphing-jar-2-6640,
OCG,2002-01-01,Nobleman of Crossout,Semi-Limited,71044499,nobleman-of-crossout-5968,
OCG,2002-01-01,Riryoku,Semi-Limited,34016756,riryoku-2889,
OCG,2002-01-01,Sangan,Semi-Limited,26202165,sangan-2251,
OCG,2002-01-01,Swords of Revealing Light,Semi-Limited,72302403,swords-of-revealing-light-6068,
OCG,2002-01-01,Witch of the Black Forest,Semi-Limited,78010363,witch-of-the-black-forest-6561,
OCG,2002-05-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2002-05-01,Card Destruction,Limited,72892473,card-destruction-6117,
OCG,2002-05-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2002-05-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2002-05-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2002-05-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2002-05-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2002-05-01,Delinquent Duo,Limited,44763025,delinquent-duo-3811,
OCG,2002-05-01,Exchange of the Spirit,Limited,17484499,exchange-of-the-spirit-1516,
OCG,2002-05-01,Exiled Force,Limited,74131780,exiled-force-6235,
OCG,2002-05-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2002-05-01,Fiber Jar,Limited,78706415,fiber-jar-6613,
OCG,2002-05-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2002-05-01,Heavy Storm,Limited,19613556,heavy-storm-1690,
OCG,2002-05-01,Imperial Order,Limited,61740673,imperial-order-5227,
OCG,2002-05-01,Injection Fairy Lily,Limited,79575620,injection-fairy-lily-6674,
OCG,2002-05-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2002-05-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2002-05-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2002-05-01,Limiter Removal,Limited,23171610,limiter-removal-1993,
OCG,2002-05-01,Mage Power,Limited,83746708,mage-power-7025,
OCG,2002-05-01,Magic Cylinder,Limited,62279055,magic-cylinder-5267,
OCG,2002-05-01,Makyura the Destructor,Limited,21593977,makyura-the-destructor-1859,
OCG,2002-05-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2002-05-01,Monster Reborn,Limited,83764719,monster-reborn-7027,
OCG,2002-05-01,Morphing Jar,Limited,33508719,morphing-jar-2843,
OCG,2002-05-01,Painful Choice,Limited,74191942,painful-choice-6240,
OCG,2002-05-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2002-05-01,Premature Burial,Limited,70828912,premature-burial-5948,
OCG,2002-05-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2002-05-01,Reckless Greed,Limited,37576645,reckless-greed-3180,
OCG,2002-05-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2002-05-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2002-05-01,Ring of Destruction,Limited,83555666,ring-of-destruction-7013,
OCG,2002-05-01,Slate Warrior,Limited,78636495,slate-warrior-6606,
OCG,2002-05-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2002-05-01,Swords of Revealing Light,Limited,72302403,swords-of-revealing-light-6068,
OCG,2002-05-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2002-05-01,Twin-Headed Behemoth,Limited,43586926,twin-headed-behemoth-3719,
OCG,2002-05-01,United We Stand,Limited,56747793,united-we-stand-4834,
OCG,2002-05-01,Upstart Goblin,Limited,70368879,upstart-goblin-5921,
OCG,2002-05-01,Witch of the Black Forest,Limited,78010363,witch-of-the-black-forest-6561,
OCG,2002-05-01,Yata-Garasu,Limited,3078576,yata-garasu-279,
OCG,2002-05-01,Backup Soldier,Semi-Limited,36280194,backup-soldier-3066,
OCG,2002-05-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2002-05-01,Guardian Sphinx,Semi-Limited,40659562,guardian-sphinx-3459,
OCG,2002-05-01,Last Turn,Semi-Limited,28566710,last-turn-2431,
OCG,2002-05-01,Marauding Captain,Semi-Limited,2460565,marauding-captain-222,
OCG,2002-05-01,Morphing Jar #2,Semi-Limited,79106360,morphing-jar-2-6640,
OCG,2002-05-01,Nobleman of Crossout,Semi-Limited,71044499,nobleman-of-crossout-5968,
OCG,2002-05-01,Reinforcement of the Army,Semi-Limited,32807846,reinforcement-of-the-army-2794,
OCG,2002-05-01,Riryoku,Semi-Limited,34016756,riryoku-2889,
OCG,2002-05-01,Sangan,Semi-Limited,26202165,sangan-2251,
OCG,2003-01-01,Breaker the Magical Warrior,Limited,71413901,breaker-the-magical-warrior-5997,
OCG,2003-01-01,Butterfly Dagger - Elma,Limited,69243953,butterfly-dagger-elma-5823,
OCG,2003-01-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2003-01-01,Card Destruction,Limited,72892473,card-destruction-6117,
OCG,2003-01-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2003-01-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2003-01-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2003-01-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2003-01-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2003-01-01,Delinquent Duo,Limited,44763025,delinquent-duo-3811,
OCG,2003-01-01,Exchange of the Spirit,Limited,17484499,exchange-of-the-spirit-1516,
OCG,2003-01-01,Exiled Force,Limited,74131780,exiled-force-6235,
OCG,2003-01-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2003-01-01,Fiber Jar,Limited,78706415,fiber-jar-6613,
OCG,2003-01-01,Graceful Charity,Limited,79571449,graceful-charity-6673,
OCG,2003-01-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2003-01-01,Heavy Storm,Limited,19613556,heavy-storm-1690,
OCG,2003-01-01,Imperial Order,Limited,61740673,imperial-order-5227,
OCG,2003-01-01,Injection Fairy Lily,Limited,79575620,injection-fairy-lily-6674,
OCG,2003-01-01,Jinzo,Limited,77585513,jinzo-6528,
OCG,2003-01-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2003-01-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2003-01-01,Limiter Removal,Limited,23171610,limiter-removal-1993,
OCG,2003-01-01,Mage Power,Limited,83746708,mage-power-7025,
OCG,2003-01-01,Magic Cylinder,Limited,62279055,magic-cylinder-5267,
OCG,2003-01-01,Makyura the Destructor,Limited,21593977,makyura-the-destructor-1859,
OCG,2003-01-01,Mirage of Nightmare,Limited,41482598,mirage-of-nightmare-3549,
OCG,2003-01-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2003-01-01,Monster Reborn,Limited,83764719,monster-reborn-7027,
OCG,2003-01-01,Morphing Jar,Limited,33508719,morphing-jar-2843,
OCG,2003-01-01,Painful Choice,Limited,74191942,painful-choice-6240,
OCG,2003-01-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2003-01-01,Premature Burial,Limited,70828912,premature-burial-5948,
OCG,2003-01-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2003-01-01,Reckless Greed,Limited,37576645,reckless-greed-3180,
OCG,2003-01-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2003-01-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2003-01-01,Ring of Destruction,Limited,83555666,ring-of-destruction-7013,
OCG,2003-01-01,Sangan,Limited,26202165,sangan-2251,
OCG,2003-01-01,Sinister Serpent,Limited,8131171,sinister-serpent-690,
OCG,2003-01-01,Slate Warrior,Limited,78636495,slate-warrior-6606,
OCG,2003-01-01,Snatch Steal,Limited,45986603,snatch-steal-3918,
OCG,2003-01-01,Swords of Revealing Light,Limited,72302403,swords-of-revealing-light-6068,
OCG,2003-01-01,The Forceful Sentry,Limited,42829885,the-forceful-sentry-3653,
OCG,2003-01-01,Tribe-Infecting Virus,Limited,33184167,tribe-infecting-virus-2818,
OCG,2003-01-01,Twin-Headed Behemoth,Limited,43586926,twin-headed-behemoth-3719,
OCG,2003-01-01,United We Stand,Limited,56747793,united-we-stand-4834,
OCG,2003-01-01,Upstart Goblin,Limited,70368879,upstart-goblin-5921,
OCG,2003-01-01,Witch of the Black Forest,Limited,78010363,witch-of-the-black-forest-6561,
OCG,2003-01-01,Yata-Garasu,Limited,3078576,yata-garasu-279,
OCG,2003-01-01,Backup Soldier,Semi-Limited,36280194,backup-soldier-3066,
OCG,2003-01-01,Creature Swap,Semi-Limited,31036355,creature-swap-2631,
OCG,2003-01-01,Guardian Sphinx,Semi-Limited,40659562,guardian-sphinx-3459,
OCG,2003-01-01,Last Turn,Semi-Limited,28566710,last-turn-2431,
OCG,2003-01-01,Marauding Captain,Semi-Limited,2460565,marauding-captain-222,
OCG,2003-01-01,Morphing Jar #2,Semi-Limited,79106360,morphing-jar-2-6640,
OCG,2003-01-01,Nobleman of Crossout,Semi-Limited,71044499,nobleman-of-crossout-5968,
OCG,2003-01-01,Reinforcement of the Army,Semi-Limited,32807846,reinforcement-of-the-army-2794,
OCG,2003-01-01,Riryoku,Semi-Limited,34016756,riryoku-2889,
OCG,2003-04-01,Breaker the Magical Warrior,Limited,71413901,breaker-the-magical-warrior-5997,
OCG,2003-04-01,Butterfly Dagger - Elma,Limited,69243953,butterfly-dagger-elma-5823,
OCG,2003-04-01,Call of the Haunted,Limited,97077563,call-of-the-haunted-8077,
OCG,2003-04-01,Card Destruction,Limited,72892473,card-destruction-6117,
OCG,2003-04-01,Ceasefire,Limited,36468556,ceasefire-3082,
OCG,2003-04-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2003-04-01,Confiscation,Limited,17375316,confiscation-1504,
OCG,2003-04-01,Cyber Jar,Limited,34124316,cyber-jar-2900,
OCG,2003-04-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2003-04-01,Delinquent Duo,Limited,44763025,delinquent-duo-3811,
OCG,2003-04-01,Exchange of the Spirit,Limited,17484499,exchange-of-the-spirit-1516,
OCG,2003-04-01,Exiled Force,Limited,74131780,exiled-force-6235,
OCG,2003-04-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
