card_id,card_name,category,justification,card_text
71858682,Centur-Ion Auxila,Extender,"This card is a Synchro monster summoned from the Extra Deck, meaning it requires an established board to be brought out. Its effect activates upon being Special Summoned to search for a ""Centur-Ion"" card, which continues your plays and generates more value after your main combo has already started.","1 Tuner + 1+ non-Tuner monsters
Face-up cards in your Spell & Trap Zone cannot be destroyed by card effects. You can only use each of the following effects of ""Centur-Ion Auxila"" once per turn. If this card is Special Summoned: You can add 1 ""Centur-Ion"" card from your Deck to your hand. During the End Phase: You can place 1 of your non-Synchro ""Centur-Ion"" monsters that is banished or in your GY, in your Spell & Trap Zone as a face-up Continuous Trap."
30373970,Miasma Dragon Tistina,Starter,"This card's first effect activates upon being Normal or Special Summoned to add a ""Tistina"" monster from the Deck to the hand. This search allows it to single-handedly begin the deck's main line of play, fitting the definition of a Starter. While its second effect to revive itself can act as an extender, its primary role upon being played from the hand is to initiate the combo.","If this card is Normal or Special Summoned: You can add 1 ""Tistina"" monster from your Deck to your hand, except ""Miasma Dragon Tistina"", also for the rest of this turn, LIGHT ""Tistina"" monsters you control gain 1000 ATK. If this card is sent to the GY, and a card is in the Field Zone: You can Special Summon this card, also you cannot Special Summon from the hand or GY for the rest of this turn, except ""Tistina"" monsters. You can only use each effect of ""Miasma Dragon Tistina"" once per turn."
32278723,Aqua Jet Surface,Extender,"This card's effect requires a valid monster in the hand or GY to activate, meaning it cannot start a play by itself. Its role is to Special Summon an additional monster to the field, which ""extends"" a pre-existing board state or combo line, typically to facilitate an Xyz Summon.","Special Summon 1 Level 4 or lower Fish, Sea Serpent, or Aqua monster from your hand or GY, but you cannot Special Summon from the Extra Deck, except Xyz Monsters, while you control that face-up monster. If your opponent controls an Attack Position monster: You can banish this card from your GY, then target 1 Fish, Sea Serpent, or Aqua monster you control; it gains 1000 ATK until the end of this turn. You can only use each effect of ""Aqua Jet Surface"" once per turn."
43331750,Fusion Duplication,Extender,"This card's activation requires a ""Fusion"" or ""Polymerization"" Spell to already be in the Graveyard, meaning a play must have already occurred. By copying that Spell's effect, it allows for an additional Fusion Summon, thereby extending your plays and board presence after your main combo has started.","Target 1 ""Fusion"" or ""Polymerization"" Normal or Quick-Play Spell in either player's GY; banish that Spell, then apply that Spell's effect when that card is activated. You can only activate 1 ""Fusion Duplication"" per turn."
25807544,Noble Arms Museum,Starter,"This card's primary effect allows you to search your Deck for a ""Noble Arms"" card, a key component for the ""Noble Knight"" and ""Infernoble Knight"" archetypes. This search initiates your main combo sequence. Its second effect is a direct follow-up that Special Summons a monster, further developing your board. Since it can start your plays without needing a pre-existing field, it functions as a core Starter for its deck.","All FIRE Warrior monsters you control gain 500 ATK. Once per turn: You can pay 1200 LP; add 1 ""Noble Arms"" card from your Deck to your hand, except ""Noble Arms Museum"". Once per turn, if the previous effect was applied this turn: You can target 1 ""Noble Knight"" Monster Card in your Spell & Trap Zone; Special Summon it, also, if you activated this effect while you did not control ""Infernoble Knight Emperor Charles"", you cannot Special Summon monsters for the rest of this turn, except Warrior monsters."
91284003,Argostars - Swift Capane,Extender,"This card's main effect to Special Summon itself requires another Continuous Trap to already be on the field as a monster. This means a play must have already started. The card then serves to continue or extend that play by providing an additional monster on the field, which can be used for further summons or to build a stronger board state.","While this card is face-up in the Spell & Trap Zone, Warrior monsters you control cannot be destroyed by battle. Once per turn, if a Continuous Trap is in a Monster Zone: You can Special Summon this card as an Effect Monster (Warrior/LIGHT/Level 4/ATK 1800/DEF 1800) with the following effect (this card is also still a Trap), then if you have a banished ""Argostars"" monster, you gain 500 LP.
● Once per turn (Quick Effect): You can place this card face-up in your Spell & Trap Zone."
91323605,How Did Dai Get Here?,,"This card's activation condition is reactive, requiring a monster you control to be destroyed by an opponent's attack or card effect. It does not start your plays (Starter), extend your own combos (Extender), disrupt from the hand (Handtrap), or break the opponent's board (Board Breaker). Its strategic role is to recover board presence and generate advantage after your field has been diminished, which does not fit into the defined categories.","If a monster you control is destroyed by your opponent's attack or card effect: Place face-up in your Field Zone, 1 Field Spell from your Deck with a different name than the cards in the Field Zones, then reveal 5 monsters from your Deck that can be Special Summoned, with different names from each other, your opponent randomly picks 1 for you to Special Summon, also shuffle the rest into your Deck. You can only activate 1 ""How Did Dai Get Here?"" per turn."
99307040,Horus the Black Flame Deity,Extender,"The card's effects require an established board state (controlling a ""Horus"" monster and ""King's Sarcophagus""). Its primary role is to add value and resilience to this setup, either by providing removal from the hand or by Special Summoning itself as a powerful follow-up play if your board is disrupted by the opponent, thereby extending your plays through an interruption.","If you control a ""Horus"" monster and ""King's Sarcophagus"": You can reveal this card in your hand, then send 1 card from your hand or field to the GY; send 1 card on the field to the GY. If a face-up ""Horus"" monster(s) you control, except ""Horus the Black Flame Deity"", or a face-up ""King's Sarcophagus"" you control, leaves the field by an opponent's card effect (except during the Damage Step): You can Special Summon this card from your hand, then you can send all other monsters on the field to the GY. You can only use each effect of ""Horus the Black Flame Deity"" once per turn."
60268386,Heraldic Beast Gryphon,Starter,"The card can be activated from the hand without any other cards on the field. By Special Summoning itself and sending another ""Heraldic Beast"" from the Deck to the GY, it single-handedly initiates the deck's main combo line towards an Xyz Summon, making it a powerful opening play.","You can send 1 ""Heraldic Beast"" monster from your Deck to the GY, except ""Heraldic Beast Gryphon""; Special Summon this card from your hand, also you cannot Special Summon from the Extra Deck for the rest of this turn, except by Xyz Summon that uses only monsters with ""Heraldic Beast"" or ""Number"" in their original names as material. Can be treated as 2 materials for the Xyz Summon of a ""Number"" Xyz Monster that requires 3 or more materials. You can only use each effect of ""Heraldic Beast Gryphon"" once per turn."
33787730,Ryzeal Plasma Hole,Board Breaker,"The card's primary effect is to destroy face-up cards your opponent controls, a function that directly addresses and dismantles an established board. While its secondary Graveyard effect can extend your plays, the main purpose of activating this card from the hand is to remove opposing threats, fitting the strategic role of a Board Breaker.","Target face-up cards your opponent controls, up to the number of ""Ryzeal"" Xyz Monsters you control; destroy them, then you can attach 1 ""Ryzeal"" card from your GY to 1 Rank 4 Xyz Monster you control. You can banish this card from your GY; immediately after this effect resolves, Xyz Summon 1 Xyz Monster using monsters you control, including a ""Ryzeal"" monster. You can only use each effect of ""Ryzeal Plasma Hole"" once per turn."
55031170,K9-66b Lantern,Starter,"This card serves as a primary way to start the deck's combos. Its on-field effect searches for a ""K9"" Spell/Trap, a key function of a starter, and its hand effect can Special Summon itself and another monster, establishing an initial board from which to build upon.","If your opponent has 2 or more cards in their hand, you can Normal Summon this card without Tributing. You can only use each of the following effects of ""K9-66b Lantern"" once per turn. If this card is in your hand: You can target 1 Level 5 non-Pyro ""K9"" monster in your GY; Special Summon both it and this card, but they cannot be used as material for the Xyz Summon of a LIGHT monster. During your Main Phase: You can add 1 ""K9"" Spell/Trap from your Deck to your hand."
10807219,Newbee!,Extender,"This card's Special Summon effect requires a monster with 0 ATK/DEF to be in the Graveyard, meaning a play must have already been initiated to meet its activation condition. By Special Summoning itself from the hand and recovering both a monster and a Trap, it provides additional resources and board presence to continue or extend combos after a play has already started.","If you have a monster with 0 ATK/DEF in your GY, you can Special Summon this card (from your hand). You can only Special Summon ""Newbee!"" once per turn this way. If this card is Special Summoned from the hand: You can apply these effects in sequence.
● Add 1 LIGHT Insect monster from your GY to your hand, except ""Newbee!"".
● Place 1 of your Traps that is banished or in your GY on either the top or bottom of the Deck.
You can only use this effect of ""Newbee!"" once per turn."
50951254,Magmacho Dragon,Extender,"The card's main effect Special Summons itself from the Graveyard, but only after a FIRE monster you control is destroyed by a card effect. This condition requires you to have already established a board, making it a follow-up or recovery play rather than a starter. It extends your plays by providing an additional monster and card advantage after your initial setup is disrupted.","You can banish up to 3 FIRE monsters from your GY; this card gains 400 ATK for each, until the end of this turn. If a face-up FIRE monster(s) you control is destroyed by card effect, while this card is in your GY (except during the Damage Step): You can Special Summon this card (but banish it when it leaves the field), then draw 1 card. You can only use each effect of ""Magmacho Dragon"" once per turn."
66472129,Dipsea Fiend,Starter,"This card can be activated from the hand with no prior board presence, requiring only another card to discard. By Special Summoning itself to the opponent's field, it generates a Special Summon of a Fiend monster from the hand or Graveyard to your field, effectively starting a combo line and establishing your board from an empty state.","You can discard 1 card, then declare 1 Attribute, except WATER; Special Summon this card from your hand to either field, then this card becomes that Attribute (until the end of this turn), then if you Special Summoned this card to your opponent's field, you can Special Summon 1 Level 4 or lower Fiend monster with an original Attribute other than the declared one, from your hand or GY to your field, also for the rest of this turn, you cannot Special Summon from the Extra Deck, except Fiend monsters. You can only use this effect of ""Dipsea Fiend"" once per turn."
13204145,Mimighoul Maker,Starter,"This card's primary effect can be activated from the hand without requiring any prior board presence. It initiates a combo by adding a key (Flip) monster from the Deck to the hand and provides an additional Special Summon, setting up the deck's main strategy from the start of the turn.","Reveal 2 Flip monsters with different names from your Deck, your opponent randomly picks 1 for you to Special Summon to their field in face-down Defense Position, and you add the other to your hand, then you can Special Summon 1 ""Mimighoul"" monster from your hand. If your opponent Special Summons a monster(s) (except during the Damage Step): You can banish this card from your GY, then target 1 face-down monster your opponent controls; change it to face-up Attack or Defense Position. You can only use 1 ""Mimighoul Maker"" effect per turn, and only once that turn."
34568783,R-Genex Undine,Extender,"This card's effects require prior setup to be used. Its first effect activates on the field and needs a ""Genex"" monster in the Graveyard to modulate its own attributes and Tuner status to facilitate Synchro Summons. Its second effect activates from the Graveyard only after you have successfully summoned a ""Genex"" Synchro Monster. Both effects serve to continue or extend combos after a play has already been started, rather than initiating them.","Once per turn: You can banish 1 ""Genex"" monster from your GY; this card gains that monster's Attribute, then if you banished a Tuner to activate this effect, you can treat this card as a Tuner until the end of this turn. If you control a ""Genex"" Synchro Monster: You can target 2 ""Genex"" monsters in your GY, including this card; add them to your hand, also for the rest of this turn, any card sent to your GY is banished instead."
83533296,Salamangreat Charge,Extender,"The card's first effect requires three FIRE monsters to already be in the Graveyard or banished, meaning you must have already started your plays. It then Special Summons one of those monsters, providing an additional body on the field to continue or extend your combos, fitting the definition of an Extender. The second effect also requires an established board, further cementing its role as a card that enhances existing plays rather than initiating them.","Activate 1 of these effects;
● Target 3 of your FIRE monsters that are banished and/or in your GY; shuffle 2 of the 3 into the Deck, and if you do, Special Summon the remaining monster, but for the rest of this turn, its effects are negated, also it cannot attack.
● If you control a FIRE Ritual, Fusion, Synchro, Xyz, or Link Monster(s) whose current ATK is different from its original ATK: You can target 1 card on the field; destroy it.
You can only activate 1 ""Salamangreat Charge"" per turn."
61292243,EMERGENCY!,Starter,"This card's primary effect allows the player to Special Summon a ""Rescue-ACE"" monster directly from the Deck. As it can be activated from the hand without any prior field setup, it serves as an ideal opening move to begin the archetype's main combo lines by accessing key monsters.","(This card is always treated as a ""Rescue-ACE"" card.)
Special Summon 1 ""Rescue-ACE"" monster from your Deck in Defense Position, then Tribute 1 ""Rescue-ACE"" monster from your hand or field. During your Main Phase: You can banish this card from your GY, then target 1 ""Rescue-ACE"" Trap in your GY; Set it. You can only use each effect of ""EMERGENCY!"" once per turn."
70717628,Clear Phantom,Starter,"This card's primary effect is activated from the hand to search for the core components of its archetype (""Clear World"" and related Spells/Traps). By discarding itself and another card, it allows the player to access their key engine pieces from the Deck at the beginning of the game, directly initiating the deck's strategy. This role of setting up the main line of play from the opening hand fits the definition of a Starter.","You are unaffected by the effects of ""Clear World"". You can discard 2 cards, including this card; add 2 cards from your Deck to your hand, that are ""Clear World"" or Spells/Traps that mention it. You can only use this effect of ""Clear Phantom"" once per turn. If this card is destroyed: You can target 1 monster your opponent controls; destroy it, and if you do, send the top 3 cards of their Deck to the GY."
61980241,Elzette of the White Forest,Starter,"This card's primary effect allows it to be Special Summoned from the hand by sending a Spell/Trap from the hand or field to the GY. It then adds another ""White Forest"" monster from the Deck to the hand. This ability to generate a body on the field and search for a key combo piece, without requiring a pre-existing board, makes it an ideal card to begin a deck's main line of play.","You can send 1 Spell/Trap from your hand or field to the GY; Special Summon this card from your hand, then add 1 ""White Forest"" monster from your Deck to your hand, except ""Elzette of the White Forest"". During your opponent's turn, if a LIGHT Spellcaster Tuner is Special Summoned to your field, while this card is in your GY (except during the Damage Step): You can add this card to your hand. You can only use each effect of ""Elzette of the White Forest"" once per turn."
34909328,Ryzeal Detonator,,"This card functions as an archetype's ""boss monster"" or ""payoff."" It is summoned from the Extra Deck as the goal of a combo, not as a piece that starts or extends it. Its effects provide disruption and protection from the field, a strategic role that does not fit the definitions of Starter, Extender, Handtrap, Board Breaker, or Garnet.","2+ Level 4 ""Ryzeal"" monsters
When your opponent activates a card or effect (Quick Effect): You can detach 1 material from this card, then target 1 card on the field; destroy it. You can only use each of the following effects of ""Ryzeal Detonator"" once per turn. If this card is Special Summoned: You can attach 1 monster from your GY to this card as material. If an Xyz Monster(s) you control would be destroyed by battle or card effect, you can detach 1 material from this card instead."
96823189,Dragon of Pride and Soul,,"The card's summoning condition is extremely specific and passive, requiring the opponent to have 25 or more cards in their GY. This makes it impossible to use as a Starter or Extender for your own plays. It has no disruptive effects to be a Handtrap, nor does it remove threats to be a Board Breaker. Its strategic role is too niche and unreliable to fit any of the provided categories.","Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) while your opponent has 25 or more cards in their GY. While you have 25 or more cards in your GY, this card gains 2500 ATK/DEF."
84138874,Volcanic Inferno,,"This card is a trap that provides reactive disruption by negating an opponent's monster effect from the field. It is not a Handtrap, as it must be set first. It doesn't start or extend your own plays, and it isn't a proactive Board Breaker. Since it's a key interactive card for its archetype and not an undesirable draw, it's not a Garnet. Therefore, it does not fit into any of the specified categories.","When your opponent activates a monster effect on the field: You can banish 1 Pyro monster from your GY; inflict 500 damage to your opponent, then, if you banished a ""Volcanic"" monster to activate this effect, you can negate that effect. During your opponent's End Phase: You can target up to 2 of your ""Volcanic"" monsters that are banished and/or in your GY; place them on the bottom of your Deck in any order. You can only use each effect of ""Volcanic Inferno"" once per turn."
96113307,Ritual Beast Ulti-Reirautari,Extender,"This card is a Link Monster that requires significant setup (3+ Effect Monsters) to be summoned. Its primary effect on your turn is to extend your plays by recycling a banished ""Ritual Beast"" card and granting an additional Normal Summon, which facilitates the core ""Ritual Beast"" strategy of cycling through monsters. This fits the definition of an Extender, as it continues your combo after a board has already been established.","3+ Effect Monsters
Neither player can Tribute cards to activate a card or effect. You can only use each of the following effects of ""Ritual Beast Ulti-Reirautari"" once per turn. You can target 1 of your banished ""Ritual Beast"" cards; return it to the hand or Extra Deck, then, immediately after this effect resolves, you can Normal Summon 1 ""Ritual Beast"" monster from your hand. During your opponent's turn (Quick Effect): You can target 1 ""Ritual Beast"" card you control and 1 card your opponent controls; banish them."
48705086,Dragolithia Kunzite,Starter,"This card can be activated from the hand without requiring any cards on the field. Its effect Special Summons itself while also sending a key Normal Monster from the Deck to the Graveyard, setting up for further combos and establishing an initial board presence, which is the definition of a starter.","If this card is in your hand: You can send 1 Level 7 or higher Normal Monster from your hand or Deck to the GY, and if you do, Special Summon this card. You can banish this card from your GY, then target 1 Normal Monster in your GY; Special Summon it in Defense Position. You can only use 1 ""Dragolithia Kunzite"" effect per turn, and only once that turn."
12804701,Aroma Healing,Extender,"This card's most impactful effect activates from the Graveyard to Special Summon an ""Aroma"" monster. This requires prior setup (having an ""Aroma"" monster and this card in the GY), and serves to continue or extend your plays by providing an additional monster for your combos, fitting the definition of an Extender.","Gain 1000 LP for each ""Aroma"" monster you control with a different name. You can banish this card from your GY, then target 1 ""Aroma"" monster in your GY; Special Summon it (but banish it when it leaves the field), then gain 500 LP. You can only use 1 ""Aroma Healing"" effect per turn, and only once that turn."
90939874,Six Strike - Sextuple Barrage,Board Breaker,"The primary effect of this card is to destroy all cards the opponent controls. This is a powerful board-clearing ability designed to eliminate an opponent's established field. While it requires a significant setup on your own field, its fundamental strategic role is to dismantle the opponent's board, fitting the definition of a Board Breaker.","If you control 3 or more ""Six Samurai"" Synchro Monsters with different names (for every 6 Bushido Counters you control, reduce this number by 1): Destroy all cards your opponent controls. If this Set card in its owner's control is destroyed or banished by an opponent's activated effect: You can Special Summon 1 ""Six Samurai"" monster or 1 ""Shien"" Effect Monster from your Deck/Extra Deck. You can only use each effect of ""Six Strike - Sextuple Barrage"" once per turn."
72238166,Node Ryzeal,Extender,"The card’s Special Summon effect from the hand requires an Xyz Monster to already be on the field or in the Graveyard, meaning it cannot initiate plays on its own. It functions to continue a pre-existing combo by providing an additional body on board, fitting the role of an Extender.","If you have an Xyz Monster in your field or GY, you can Special Summon this card (from your hand). If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Node Ryzeal"" once per turn this way. You can send 1 card from your hand or field to the GY, then target 1 ""Ryzeal"" monster in your GY, except ""Node Ryzeal""; Special Summon it in Defense Position, but negate its effects. You can only use this effect of ""Node Ryzeal"" once per turn."
47894537,Jongleur-Ghoul Illusionist,,"This card is a Normal Monster, meaning it has lore text but no effect. All the provided categories (Starter, Handtrap, Extender, Board Breaker, Garnet) are defined by a card's effect and its strategic role. Since this card has no effect, it does not fit into any of these classifications.","''A captivating street performer, who'll catch you off guard with his song and dance and hocus pocus attacks. Once his eyes start spinning, danger is impending, so make a run for it!''"
43219114,Majesty of the White Dragons,Board Breaker,"The card's primary effect is to destroy multiple cards your opponent controls. This effect is used proactively to dismantle an established field and does not start or extend your own combos, fitting the definition of a Board Breaker.","Show up to 3 of the ""Blue-Eyes White Dragon"" in your hand, face-up Monster Zone, and/or GY, then destroy an equal number of cards your opponent controls. You can banish this card from your GY; Ritual Summon 1 Ritual Monster from your hand, by Tributing ""Blue-Eyes White Dragon(s)"" from your hand or field whose total Levels equal its Level. You can only use each effect of ""Majesty of the White Dragons"" once per turn."
98696958,Dark Corridor,Starter,"The card's effect searches for a key ""Dark World"" monster and then discards a card, which is the primary way to initiate the ""Dark World"" archetype's combos by triggering their discard effects. It can be activated from the hand with no prior setup, making it a classic starter.","Add 1 ""Dark World"" monster from your Deck to your hand, then discard 1 card. You can only activate 1 ""Dark Corridor"" per turn."
66102515,Kurikurinku @Ignister,Extender,"This card's primary effect requires you to already control an ""@Ignister"" monster to Special Summon itself from the hand or GY. This condition means it cannot start a play on its own, but instead serves to continue a combo by providing an additional monster on the field, which is the key function of an Extender.","If this card is in your hand or GY (Quick Effect): You can Tribute 1 ""@Ignister"" monster; Special Summon this card, but banish it when it leaves the field. When a card or effect is activated that targets a Cyberse monster(s) you control, and you control a Cyberse monster that was Special Summoned from the Extra Deck (Quick Effect): You can Tribute this card; negate that effect. You can only use each effect of ""Kurikurinku @Ignister"" once per turn."
65726770,Silent Magician Zero,Extender,"The card's primary interactive effect, a spell negate, is entirely conditional upon controlling another specific card (""Shining Sarcophagus""). This means it cannot initiate plays by itself but must be added to an established board to provide its disruptive value, thus extending the capabilities and resilience of your existing field.","If your opponent draws a card(s): Increase this card's Level by the number drawn. While this card's Level is higher than its original Level, it gains ATK equal to the difference x 500. When your opponent activates a Spell Card or effect, while you control ""Shining Sarcophagus"" (Quick Effect): You can negate the activation, and if you do, increase this card's Level by 1. You can only use this effect of ""Silent Magician Zero"" once per turn."
