card_id,card_name,card_text,category_1,category_2,justification_1,justification_2,agreed
1005587,Void Trap Hole,"When your opponent Special Summons a monster(s) with 2000 or more ATK: Negate the effects of 1 of those monsters with 2000 or more ATK, and if you do, destroy it.",Handtrap,Handtrap,"This card can be activated from the hand when the opponent Special Summons a monster with 2000 or more ATK, allowing it to disrupt the opponent's plays during their turn.","This card can be activated from the hand during the opponent's turn when they special summon a high ATK monster, allowing for disruption of their plays by negating and destroying the summoned monster.",True
1050186,Satellarknight Unukalhai,"If this card is Summoned: You can send 1 ""tellarknight"" card from your Deck to the Graveyard, except ""Satellarknight Unukalhai"". You can only use this effect of ""Satellarknight Unukalhai"" once per turn.",Starter,Starter,"This card can be sent to the Graveyard and immediately triggers an effect to search or send another ""tellarknight"" card from the Deck. This directly progresses the deck's game plan and can be activated without requiring other cards to be on the field.","This card can be activated upon its own summon to send a ""tellarknight"" card from the Deck to the Graveyard, which is a key effect to start their combos by setting up graveyard resources.",True
1149109,Deck Lockdown,Neither player can add cards from the Deck to their hand except by drawing them. Monsters cannot be Special Summoned from the Main Deck. Destroy this card during your 2nd Standby Phase after activation.,Garnet,Board Breaker,"This card’s effect is purely supportive of another card’s ability, and its activation condition (being activated during the Standby Phase) makes it a “necessary brick” – highly undesirable to draw but essential for enabling another card’s effect.","This card's effect prevents the opponent from adding cards from the Deck to the hand and Special Summoning monsters from the Main Deck, which is a powerful disruptive effect that shuts down many common combo strategies. This disruption is primarily aimed at dismantling the opponent's established setup, fitting the role of a board breaker.",False
1197847,Phantasm Spiral Wave,"Equip only to a Normal Monster. The first time the equipped monster would be destroyed by battle each turn, it is not destroyed. At the end of the Battle Phase, if the equipped monster battled: You can Special Summon 1 ""Phantasm Spiral Dragon"" from your hand, Deck, or Graveyard, and equip it with this card, then if they have any, your opponent discards 1 card. You can only use this effect of ""Phantasm Spiral Wave"" once per turn.",Extender,Extender,"This card requires an equipped monster to already be on the field to provide its protection effect. Its secondary effect of Special Summoning ""Phantasm Spiral Dragon"" and equipping itself also depends on the equipped monster having battled, thus extending existing plays rather than initiating them.","This card requires an equipped monster to activate its primary effect of Special Summoning ""Phantasm Spiral Dragon,"" indicating it continues a play rather than starting one. Its effect provides additional field presence and disruption, extending existing combos.",True
1295442,Icejade Creation Aegirocassis,"While this card is equipped to a monster, the equipped monster gains 400 ATK/DEF for each banished monster. You can only use 1 of the following effects of ""Icejade Creation Aegirocassis"" per turn, and only once that turn. If this card is in your hand or GY (except during the Damage Step) (Quick Effect): You can target 1 ""Icejade"" monster you control; equip this card to that monster you control. While this card is equipped to a monster: You can Special Summon this card.",Extender,Extender,"This card cannot start a combo on its own as it requires an ""Icejade"" monster already on the field to activate its first effect (equipping itself). Its subsequent effect allows it to Special Summon itself from the equipped state, enabling further monster presence and extending existing plays rather than initiating them.","This card requires an ""Icejade"" monster to already be on your field to activate its primary effect of equipping itself. Once equipped, it can then Special Summon itself, providing an additional monster to further your plays or extend combos after an initial monster has been established.",True
1371589,Vampiric Koala,If this card inflicts battle damage to your opponent by battle with a monster: Gain LP equal to the battle damage inflicted.,None,None,"This card's effect is purely a gain of Life Points based on battle damage, with no ability to start combos, disrupt opponents, extend plays, break boards, or act as a desirable component of an engine. It does not fit any of the defined categories.","This card's effect activates based on inflicting battle damage, which is a common in-game event. It doesn't initiate a combo, disrupt an opponent from hand, extend plays, break boards, or serve as a necessary but undesirable draw, thus fitting none of the defined categories.",True
1487805,Cosmic Slicer Zer'oll,"2+ Reptile monsters
Monsters your opponent controls with A-Counters are changed to Defense Position, also neither player can activate their effects. You can only use each of the following effects of ""Cosmic Slicer Zer'oll"" once per turn. If this card is Link Summoned: You can add 1 card from your Deck to your hand that has an effect that places A-Counter(s). You can remove 2 A-Counters from anywhere on the field; immediately after this effect resolves, Normal Summon 1 Reptile monster.",Extender,Extender,"This card requires 2+ Reptile monsters to be Link Summoned, meaning a play must have already started to bring out its materials. Once on the field, its effect to search a card that places A-Counters and its ability to grant an additional Normal Summon for a Reptile monster directly extend ongoing combos and generate further value, fitting the role of an Extender.","This card requires 2+ Reptile monsters to be Link Summoned, meaning it can only be brought out after initial plays have established monsters on the field. Once summoned, its effect to search for an A-Counter placing card and its ability to grant an additional Normal Summon for a Reptile monster both serve to continue and extend your combo plays, allowing for further resource generation and board development.",True
1527418,"Wiz, Sage Fur Hire","If this card is Special Summoned: You can gain 500 LP for each monster ""Fur Hire"" you control with a different name, except ""Wiz, Sage Fur Hire"". When your opponent activates a Spell/Trap Card or effect (Quick Effect): You can discard 1 card ""Fur Hire""; negate the activation. You can only use each effect of ""Wiz, Sage Fur Hire"" once per turn.",Handtrap,Handtrap,"This card can be activated from the hand during the opponent's turn (Quick Effect) to discard another ""Fur Hire"" card and negate a Spell/Trap Card or effect, fitting the definition of a reactive, disruptive handtrap.","The card can be discarded from the hand to negate an opponent's Spell/Trap Card or effect during either player's turn, fitting the definition of a disruptive handtrap.",True
1557341,"Rose, Warrior of Revenge",When this card inflicts battle damage to your opponent: Inflict 300 damage to your opponent.,Handtrap,None,"This effect activates from the hand during the opponent's Battle Phase to disrupt their attacks, fitting the definition of a reactive, disruptive handtrap.","This card's effect is purely a damage effect that activates only after battle damage is dealt. It does not initiate a combo, disrupt the opponent from hand, extend existing plays, break boards, or function as a combo piece that's bad to draw.",False
1641882,Fusionist,"""Petit Angel"" + ""Mystical Sheep #2""",None,None,"This card is a Fusion Monster. Its effect is to be treated as ""Harpie Lady"" while on the field. It does not have an activation condition that fits the definitions of Starter, Handtrap, Extender, Board Breaker, or Garnet. Its primary function is as a monster that can be summoned and potentially have its ATK/DEF modified by other card effects that support ""Harpie Lady,"" but it doesn't inherently start plays, disrupt hands, extend combos, break boards, or act as a necessary brick for another card's engine.",This card text only describes the Fusion Materials required for a Fusion Monster. It does not contain any effects that activate or have a strategic role as defined by the given categories.,True
1804528,Dark Coffin,"When this face-down card is destroyed and sent to the Graveyard, your opponent selects and executes 1 of the following effects:
● Discard 1 random card in their hand.
● Select 1 monster on their side of the field and destroy it.",None,None,"This card's effect activates when it is destroyed and sent to the Graveyard, meaning it does not proactively start a combo, disrupt the opponent from the hand, extend plays, or break established boards. It also doesn't fit the description of a ""Garnet.""","This card’s effect activates when it is destroyed and sent to the Graveyard, which is a reactive effect that occurs after the card is no longer on the field. It does not fulfill the activation requirements of a Starter, Handtrap, Extender, Board Breaker, or Garnet as defined.",True
1828513,Shadow of the Six Samurai - Shien,"2 Level 4 ""Six Samurai"" monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 ""Six Samurai"" monster you control with less than 2000 ATK; its original ATK becomes 2000 until the end of this turn.",Extender,Extender,"This card requires existing ""Six Samurai"" monsters on the field to be Xyz Summoned, and its effect can further empower those monsters, helping to extend existing plays rather than starting them.","This card's effect requires another ""Six Samurai"" monster on the field to target and boost its ATK. This indicates it's used to further combo plays or push through interruptions rather than starting a turn on its own.",True
1980574,Hop Ear Squadron,"During your opponent's Main Phase (Quick Effect): You can target 1 face-up monster you control; Special Summon this card from your hand, and if you do, immediately after this effect resolves, Synchro Summon 1 Synchro Monster using only this card you control and that target. You can only use this effect of ""Hop Ear Squadron"" once per turn.",Extender,Extender,"This card requires a monster to already be on your field to activate. It allows you to continue your plays by converting an existing monster into a Synchro Monster during your opponent's turn (as a Quick Effect), effectively extending your board or bringing out a powerful monster to react to your opponent's actions, thereby gaining more value from your established field.","This card activates from the hand during the opponent's turn, but it requires a face-up monster already on your field to be used as material for a Synchro Summon. This allows you to continue or extend your plays by bringing out an extra Synchro Monster during your opponent's turn, leveraging an existing board presence rather than starting a combo or directly disrupting the opponent's actions.",True
2055403,Time-Space Trap Hole,"When your opponent Special Summons a monster(s) from the hand or Extra Deck: Shuffle that monster(s) into the Deck, then you lose 1000 LP for each returned monster.",Handtrap,Handtrap,"This card can be activated from the hand during either player's turn in response to the opponent Special Summoning monsters, disrupting their plays and fitting the definition of a disruptive handtrap.","This card's effect activates when the opponent Special Summons monsters, allowing it to be used from the hand during either player's turn to disrupt the opponent's plays by shuffling their monsters back into the Deck.",True
2133971,Union Controller,"1 LIGHT Machine monster + ""Y-Yare Head"" or ""Z-Zillion Tank""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. If this card is Special Summoned from the Extra Deck: You can add 1 Spell/Trap from your Deck to your hand that mentions ""Union monster"" in its text. You can only use this effect of ""Union Controller"" once per turn. Once per turn, during your Main Phase: You can Special Summon 1 LIGHT Machine Normal or Union monster from your hand.",Extender,Extender,"This card requires specific monsters on the field to be Special Summoned from the Extra Deck. Once summoned, its effects search for a Spell/Trap and Special Summon another monster from the hand, directly continuing and extending an existing play or board state rather than initiating a new one.","This card is an Extra Deck monster that requires specific monsters (a LIGHT Machine and ""Y-Yare Head"" or ""Z-Zillion Tank"") to already be on your field to be Special Summoned. Once summoned, it provides a valuable search for a Union-related Spell/Trap and a Special Summon from hand, which significantly extends your plays and builds a stronger board after an initial setup has been made. It cannot start a combo by itself but pushes it further.",True
2139640,Amabie,At the start of your Main Phase 1: You can reveal this card in your hand; each player gains 300 LP.,None,None,"This card's effect triggers at the start of the Main Phase and provides a minor LP gain for both players without directly advancing a combo, disrupting the opponent, breaking a board, or acting as a key combo piece that's bad to draw. It doesn't fit any of the defined roles.","The card's effect of gaining LP is not a strong enough starting point for a combo, nor does it disrupt the opponent, extend plays, break boards, or act as a necessary brick.",True
2196767,Gambler of Legend,"Once per turn, you can toss a coin 3 times and apply the appropriate effect: ● 3 Heads: Destroy all monsters your opponent controls. ● 2 Heads: Discard 1 random card from your opponent's hand. ● 1 Head: Destroy 1 card you control. ● 3 Tails: Discard your entire hand.",Handtrap,None,"This card’s effect is designed to be activated from the hand during the opponent’s turn to disrupt their plays, fitting the reactive and disruptive nature of a handtrap. The randomness introduces an element of unpredictability and disruption, common in handtrap effects.","This card's effect activates based on a coin toss, which is a random outcome and does not align with the conditions or strategic roles of the defined categories. It doesn't initiate a combo, disrupt from hand, extend plays, break boards, or serve as a necessary but undesirable brick.",False
2295440,One for One,Send 1 monster from your hand to the GY; Special Summon 1 Level 1 monster from your hand or Deck.,Starter,Starter,"This card can be activated from the hand on its own by sending a monster to the GY, enabling a play to Special Summon a Level 1 monster, which can initiate a combo.","This card can initiate a combo by sending a monster from the hand to the GY and Special Summoning a Level 1 monster from the hand or Deck, making it a self-contained opening play.",True
2295831,Symbol of Friendship,"To activate this card, you must draw it for your normal draw in your Draw Phase while your opponent controls 3 or more monsters and you control no cards, reveal it, and keep it revealed until the Main Phase 1. During your Main Phase 1 that same turn: You can activate this card from your hand; reveal 1 card from your Deck, and add it to your hand.",Starter,Starter,"This card can be activated from the hand during the player's first turn to add a card from the Deck to the hand, initiating the deck's strategy without requiring other cards.","This card can be activated from the hand under specific, but attainable, conditions to add a card from the Deck to the hand, directly advancing your plays and setting up your game plan without requiring prior board presence or other cards to function.",True
2364438,Mayakashi Return,"Take 1 ""Mayakashi"" card from your Deck, except ""Mayakashi Return"", and either add it to your hand or send it to the GY. You can only activate 1 ""Mayakashi Return"" per turn.",Starter,Starter,"This card's effect allows you to add any ""Mayakashi"" card from your Deck to your hand or send it to the GY, enabling you to start your combos by accessing key pieces of your engine.","This card searches for any ""Mayakashi"" monster from the Deck, which is a common opening move for combo decks to establish their initial plays and gather necessary resources.",True
2390019,Ojamassimilation,"Reveal 1 LIGHT Machine Fusion Monster from your Extra Deck and banish any number of ""Ojama"" monsters from your hand, face-up field, and/or GY; Special Summon Fusion Materials with different names whose names are specifically listed on the card you revealed, from your hand, Deck, and/or GY, equal to the number of monsters banished to activate this effect. You can banish this card from your GY, then target 3 of your banished ""Ojama"" monsters; shuffle them into the Deck, then draw 1 card.",Starter,Starter,"This card enables the initiation of plays by revealing a Fusion Monster and allowing for the Special Summon of multiple ""Ojama"" monsters from various locations, kicking off a combo.","This card can initiate plays by revealing an Extra Deck monster and banishing ""Ojama"" monsters to Special Summon other monsters from the Deck, thus starting a combo without needing prior setup.",True
2648201,ZW - Sleipnir Mail,"You can target 1 ""Utopia"" monster you control; equip this monster from your hand or your side of the field to that target. It gains 1000 ATK. When this card you control is sent to your Graveyard because the equipped monster was destroyed by your opponent's card (by battle or card effect): You can target 1 ""Utopia"" monster in your Graveyard; Special Summon that target. You can only control 1 ""ZW - Sleipnir Mail"".",Extender,Extender,"This card's primary effect is to be equipped to an existing ""Utopia"" monster to boost its ATK. While it has a secondary effect to Special Summon a ""Utopia"" monster from the Graveyard when the equipped monster is destroyed, this is a conditional effect that relies on the equipped monster already being on the field and destroyed. Therefore, it serves to extend plays or recover from disruptions rather than initiating them.","This card can be activated from the hand or field to extend plays by equipping itself to a ""Utopia"" monster, providing an ATK boost and enabling a potential Special Summon from the Graveyard when the equipped monster is destroyed. It requires an existing ""Utopia"" monster to be on the field to be effective.",True
2830619,Flame Viper,A fire-breathing snake whose speed makes it a difficult target.,Handtrap,None,"Category: Handtrap This card activates from the hand during the opponent’s turn to disrupt their attacks and board presence, fitting the reactive, disruptive nature of a handtrap.","This is flavor text and does not describe an actual card effect. Therefore, it cannot be classified into any of the provided categories.",False
2851070,Reflect Bounder,"Before damage calculation, if this card is being attacked by an opponent's monster, and was in face-up Attack Position at the start of the Damage Step: Inflict damage to your opponent equal to the attacking monster's ATK. If you do, after damage calculation: Destroy this card.",None,None,"This card's effect is purely defensive and reactive, triggering only when attacked. It does not inherently start a combo, disrupt the opponent from the hand, extend existing plays, break boards, or serve as a necessary but undesirable brick. Its primary function is to inflict damage and then destroy itself, which doesn't align with the core strategic roles of the provided categories.","This card's effect activates during the Damage Step in response to an attack, primarily focused on inflicting battle damage and destroying itself. It doesn't initiate combos, disrupt the opponent from the hand, extend existing plays, break boards, or act as a combo piece that's undesirable to draw. Therefore, it doesn't fit into any of the defined categories.",True
2857636,Knightmare Phoenix,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",Board Breaker,Board Breaker,"The card's effect allows for the destruction of an opponent's Spell/Trap card, which directly addresses and removes an established threat on the opponent's field, fitting the role of a board breaker.","The card's effect allows it to destroy an opponent's Spell/Trap card when Link Summoned. This directly addresses and removes an opponent's established threat, making it useful for breaking an opponent's board, especially when going second.",True
3026686,Valkyrie Dritte,"If this card is Normal or Special Summoned: You can add 1 ""Valkyrie"" card from your Deck to your hand, except ""Valkyrie Dritte"". You can only use this effect of ""Valkyrie Dritte"" once per turn. Gains 200 ATK for each of your opponent's banished monsters.",Starter,Starter,"This card can be added to the hand and, upon being Normal or Special Summoned, searches for another ""Valkyrie"" card. This ability to easily search and continue plays upon its own summon makes it a strong starting point for a combo.","This card can be added to the hand and, upon Normal or Special Summon, searches for another ""Valkyrie"" card from the Deck. This ability to search for essential combo pieces upon its own summon allows it to initiate a deck's strategy by setting up future plays, thus functioning as a starter.",True
3040496,"Chaos Ruler, the Chaotic Magical Dragon","1 Tuner + 1+ non-Tuner monsters
If this card is Synchro Summoned: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated LIGHT or DARK monster to your hand, also send the remaining cards to the GY. You can banish 1 LIGHT and 1 DARK monster from your hand and/or GY, except this card; Special Summon this card from your GY, but banish it when it leaves the field. You can only use each effect of ""Chaos Ruler, the Chaotic Magical Dragon"" once per turn.",Extender,Extender,"This card is typically Synchro Summoned after initial plays have been made, using its effect to excavate for more resources and set up the GY, thus extending current combos. Its second effect allows it to Special Summon itself from the GY, further continuing or recovering plays by using already established resources (LIGHT/DARK monsters in hand/GY).","This card is an Extra Deck monster that requires specific materials (Tuner + non-Tuners) to be summoned, meaning it cannot initiate a combo by itself. Its on-Synchro Summon effect provides significant deck thinning and a search, while its graveyard effect allows it to special summon itself to extend plays by providing an additional body after initial setup, clearly fitting the role of a card that continues or extends plays once something has started.",True
3048768,Angello Vaalmonica,"[ Pendulum Effect ] 
Each time you gain LP while you control a Fiend Monster Card in your other Pendulum Zone, place 1 Resonance Counter on this card. Once per turn, when an opponent's monster declares an attack, you can: Immediately after this effect resolves, Link Summon 1 ""Vaalmonica"" Link Monster.

[ Monster Effect ] 
If this card is in your hand: You can discard 1 other card; take 1 ""Dimonno Vaalmonica"" from your Deck, and place this card and that card in your Pendulum Zones. During your Main Phase, if this card was Normal or Special Summoned this turn: You can banish 1 ""Vaalmonica"" Normal Spell/Trap from your GY; apply whichever effect on that card includes gaining LP. You can only use each effect of ""Angello Vaalmonica"" once per turn.",Starter,Starter,"Its monster effect can be activated from the hand by discarding one card to place both itself and ""Dimonno Vaalmonica"" from the Deck into the Pendulum Zones. This single action establishes the deck's core engine and enables its main plays without any prior setup, making it a quintessential starter.","The card's primary monster effect allows you to discard one card from your hand to place both this card and its counterpart (""Dimonno Vaalmonica"") from your Deck into your Pendulum Zones. This effect single-handedly establishes your deck's core engine, making it an ideal opening play that initiates your main combo without needing prior field setup.",True
3078380,Timaeus the United Dragon,"You can send 1 Spellcaster monster, or 1 Spell/Trap that mentions ""Dark Magician"", from your hand or face-up field to the GY; Special Summon this card from your hand. During your Main Phase: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material, including a Spellcaster monster. You can only use each effect of ""Timaeus the United Dragon"" once per turn.",Starter,Starter,"This card can Special Summon itself from the hand by sending a specific card type (Spellcaster monster or Dark Magician Spell/Trap) to the GY, which is a common cost within its archetype. Once on the field, it enables a Fusion Summon during the Main Phase, allowing the player to bring out powerful boss monsters like ""Dark Magician the Dragon Knight"" as an early and significant board presence, thus beginning the main combo line for a Fusion-focused strategy.","The card can Special Summon itself from the hand by sending a specific card from the hand to the GY, allowing it to be activated as an initial play. Once on the field, it can perform a Fusion Summon, directly advancing the deck's main strategy and making meaningful progress towards establishing a powerful board.",True
3129133,Delta of Invitation,"When this card is activated: You can send 1 Level 5 or higher Zombie monster from your Deck to the GY. You can only use each of the following effects of ""Delta of Invitation"" once per turn. If a Zombie monster is on the field: You can Special Summon 1 ""Delta Token"" (Zombie/DARK/Level 5/ATK 0/DEF 0). If a monster(s) is added from the GY to the hand, while this card is in your GY (except during the Damage Step): You can add this card to your hand. You can only activate 1 ""Delta of Invitation"" per turn.",Starter,Starter,"This card can be activated unconditionally to send a Level 5 or higher Zombie monster from the Deck to the GY. This effect directly enables graveyard-centric combos typical of Zombie decks by setting up key monsters (e.g., ""Doomking Balerdroch"" or ""Eldlich the Golden Lord"") for their graveyard effects or revival, making meaningful progress towards the deck's main win condition from the very start of a turn. While its token-generating effect requires a Zombie monster on the field (acting as an extender), the initial mill is a standalone starting point for many Zombie strategies.","The card's primary activation effect sends a Level 5 or higher Zombie monster from the Deck to the GY, which is a crucial setup for many Zombie strategies, enabling the deck's main line of play by getting key combo pieces into the graveyard without needing prior board presence. This allows it to begin your main combo or make meaningful progress by itself.",True
3137279,"Ixeep, Omen of the Ghoti","If a Fish monster(s) is banished (except during the Damage Step): You can Special Summon this card from your hand. During the Standby Phase of the next turn after this card was banished: You can target 1 of your ""Ghoti"" Traps that is banished or in your GY; Set that target. You can only use each effect of ""Ixeep, Omen of the Ghoti"" once per turn.",Extender,Extender,"This card can Special Summon itself from the hand only after a Fish monster has been banished, which requires a prior action or combo to have started. It then provides an additional body on the field to continue or extend plays, fitting the definition of an extender.","This card cannot initiate a combo on its own, as its Special Summon effect requires a Fish monster to be banished first. It serves to continue or extend plays by providing an additional monster on the field after a specific condition is met, which helps to further establish board presence for follow-up actions like Synchro Summons within the ""Ghoti"" strategy. Its second effect also supports longer plays through resource recursion.",True
3244563,Shield Spear,Target 1 face-up monster on the field; it gains 400 ATK/DEF until the end of this turn.,None,None,"This card provides a minor, temporary stat boost. It does not start combos, extend plays, disrupt the opponent, break an established board, or serve as a necessary but undesirable combo piece. Its effect is too weak and generic to fit into any of the defined strategic roles.","This card's effect is a stat boost that doesn't fit the activation conditions or strategic roles of Starter, Handtrap, Extender, Board Breaker, or Garnet. It provides a minor, non-disruptive, non-combo-extending benefit.",True
3370104,Cyber Phoenix,"While this card is in Attack Position, negate any Spell/Trap effects that target 1 Machine monster you control (and no other cards). When this card is destroyed by battle and sent to the GY: You can draw 1 card.",Handtrap,None,"This card’s effect is activated from the hand during the opponent’s turn to negate specific targeting effects, disrupting their plays and fitting the definition of a reactive handtrap.","This card's effect negates Spell/Trap effects that target a Machine monster, which is a defensive effect. Its secondary effect draws a card when destroyed by battle. Neither of these effects are primarily for initiating a combo, disrupting from the hand, extending a combo, breaking a board, or acting as a dead card in hand. It does not fit the criteria for any of the defined categories.",False
